epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,157.522,1.43354,0.74166,1.28362,0.99365,1,0.995,0.56183,1.72913,0.63721,1.32724,0.00178715,0.00178715,0.00178715
45,161.015,1.34543,0.70738,1.24203,0.99369,1,0.995,0.50975,1.64361,0.6855,1.27916,0.0017822,0.0017822,0.0017822
46,164.493,1.48934,0.77944,1.31719,0.98356,1,0.995,0.59156,1.63222,0.7304,1.34079,0.00177725,0.00177725,0.00177725
47,168.217,1.41222,0.72032,1.28588,0.98141,0.9,0.93346,0.48616,1.79645,1.24445,1.48048,0.0017723,0.0017723,0.0017723
48,171.724,1.38672,0.67265,1.26838,0.99425,1,0.995,0.53032,1.70351,0.66489,1.41115,0.00176735,0.00176735,0.00176735
49,175.203,1.48193,0.80392,1.30118,0.9987,1,0.995,0.56048,1.59869,0.67472,1.39873,0.0017624,0.0017624,0.0017624
50,178.73,1.41314,0.7141,1.28576,1,0.99606,0.995,0.56884,1.67643,0.71066,1.42379,0.00175745,0.00175745,0.00175745
51,182.234,1.415,0.7752,1.28998,0.99298,1,0.995,0.60226,1.62677,0.66811,1.39,0.0017525,0.0017525,0.0017525
52,185.753,1.43928,0.72337,1.29868,0.99117,1,0.995,0.57805,1.6261,0.65134,1.41109,0.00174755,0.00174755,0.00174755
53,189.508,1.46983,0.74553,1.3107,0.9902,1,0.995,0.59281,1.62864,0.65474,1.40961,0.0017426,0.0017426,0.0017426
54,193.023,1.44549,0.74299,1.31367,0.99147,1,0.995,0.54674,1.6898,0.66027,1.39597,0.00173765,0.00173765,0.00173765
55,196.524,1.43548,0.72314,1.30234,0.99299,1,0.995,0.53142,1.6604,0.69774,1.39797,0.0017327,0.0017327,0.0017327
56,200.006,1.38261,0.69964,1.26505,0.99362,1,0.995,0.53789,1.63572,0.66174,1.35812,0.00172775,0.00172775,0.00172775
57,203.495,1.41965,0.70971,1.28073,0.98956,1,0.995,0.50498,1.77924,0.67531,1.42998,0.0017228,0.0017228,0.0017228
58,206.984,1.43198,0.72335,1.29613,0.99065,1,0.995,0.43321,1.87001,0.67952,1.43219,0.00171785,0.00171785,0.00171785
59,210.459,1.42608,0.69848,1.2873,0.99182,1,0.995,0.50163,1.70487,0.65022,1.35445,0.0017129,0.0017129,0.0017129
60,214.158,1.45849,0.70314,1.33044,0.99357,1,0.995,0.4993,1.81287,0.60392,1.45067,0.00170795,0.00170795,0.00170795
61,217.601,1.38728,0.67822,1.24419,0.99372,1,0.995,0.54207,1.75668,0.58182,1.37849,0.001703,0.001703,0.001703
62,221.065,1.33166,0.69541,1.24,0.98402,1,0.995,0.54148,1.77949,0.62201,1.39293,0.00169805,0.00169805,0.00169805
63,224.531,1.39366,0.7103,1.26484,0.90428,1,0.98591,0.55694,1.73243,0.60681,1.38276,0.0016931,0.0016931,0.0016931
64,228.024,1.38385,0.68367,1.25547,0.99101,1,0.995,0.53559,1.61115,0.68334,1.3839,0.00168815,0.00168815,0.00168815
65,231.548,1.47844,0.68487,1.33726,0.99251,1,0.995,0.54008,1.79544,0.60207,1.4288,0.0016832,0.0016832,0.0016832
66,235.047,1.40801,0.67336,1.25681,0.9923,1,0.995,0.5296,1.72706,0.64536,1.39784,0.00167825,0.00167825,0.00167825
67,238.565,1.40379,0.67883,1.28143,0.99099,1,0.995,0.56111,1.66472,0.59595,1.3411,0.0016733,0.0016733,0.0016733
68,242.269,1.39371,0.6619,1.2567,0.98542,1,0.995,0.53669,1.74593,0.62399,1.35537,0.00166835,0.00166835,0.00166835
