obs_index	inference_time_sec	image_proc_time_sec
264	0.436494	0.015658
265	0.429072	0.014131
266	0.404908	0.011932
267	0.414568	0.015398
268	0.545724	0.023792
269	0.387384	0.020055
270	0.497895	0.015924
271	0.540094	0.011483
272	0.508919	0.022765
273	0.611488	0.024804
274	0.393731	0.018382
275	0.457337	0.013867
276	0.527938	0.015715
277	0.406601	0.021098
278	0.463907	0.017551
279	0.538129	0.016156
280	0.522876	0.016679
281	0.538851	0.013603
282	0.494507	0.012792
283	0.479276	0.017295
284	0.408538	0.015987
285	0.539544	0.016961
286	0.5749	0.016541
287	0.449661	0.020943
288	0.43812	0.01628
289	0.486648	0.019226
290	0.413201	0.012084
291	0.445625	0.019344
292	0.449783	0.014632
293	0.438107	0.021434
294	0.461976	0.012545
295	0.409198	0.013551
296	0.391428	0.013761
297	0.504578	0.01293
298	0.382318	0.013165
299	0.402188	0.013402
300	0.494541	0.011547
301	0.516035	0.022852
302	0.50089	0.018932
303	0.433027	0.015107
304	0.536318	0.011802
305	0.454331	0.014991
306	0.45589	0.020176
307	0.47349	0.016846
308	0.414931	0.015717
309	0.503106	0.013839
310	0.496172	0.010595
311	0.464364	0.0153
312	0.488272	0.020616
313	0.500005	0.014074
314	0.391934	0.013536
315	0.435534	0.013208
316	0.473508	0.012153
317	0.44957	0.013663
318	0.477555	0.017376
319	0.366021	0.013765
320	0.482937	0.012817
321	0.496991	0.016933
322	0.698153	0.020103
323	0.479311	0.015932
324	0.419626	0.011945
325	0.459109	0.012888
326	0.457405	0.020045
327	0.387213	0.011543
328	0.444407	0.011412
329	0.392061	0.012296
330	0.403801	0.014363
331	0.438929	0.025056
332	0.374515	0.014909
333	0.479163	0.012969
334	0.516621	0.022472
335	0.499855	0.012588
336	0.398805	0.013445
337	0.437301	0.011545
338	0.447446	0.012955
339	0.429358	0.012788
340	0.532478	0.01294
341	0.475036	0.015817
342	0.442667	0.01284
343	0.429393	0.015148
344	0.466195	0.015396
345	0.447411	0.012232
346	0.392454	0.019911
347	0.515702	0.013907
348	0.641436	0.022516
349	0.480827	0.019792
350	0.427811	0.019189
351	0.559984	0.017543
352	0.468703	0.015071
353	0.482047	0.014206
354	0.40579	0.009838
355	0.408503	0.018323
356	0.581795	0.013256
357	0.402309	0.01619
358	0.52065	0.014294
359	0.405346	0.011433
360	0.506851	0.016499
361	0.570002	0.020345
