epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,154.683,1.40934,0.7228,1.29383,0.99589,1,0.995,0.56157,1.62308,0.70884,1.39781,0.0011486,0.0011486,0.0011486
45,158.169,1.34161,0.70684,1.25183,0.99554,1,0.995,0.53035,1.62324,0.72405,1.39287,0.0011288,0.0011288,0.0011288
46,161.637,1.40606,0.76511,1.28868,0.99237,1,0.995,0.5264,1.70597,0.70161,1.48976,0.001109,0.001109,0.001109
47,165.119,1.37277,0.71223,1.27876,0.99404,1,0.995,0.52366,1.7151,0.71971,1.53891,0.0010892,0.0010892,0.0010892
48,168.594,1.37004,0.67168,1.28364,1,0.99385,0.995,0.54967,1.68467,0.67538,1.49963,0.0010694,0.0010694,0.0010694
49,172.064,1.41716,0.76162,1.29138,1,0.96234,0.995,0.57212,1.60863,0.73185,1.45153,0.0010496,0.0010496,0.0010496
50,175.538,1.36906,0.69945,1.27033,0.99907,1,0.995,0.52423,1.70252,0.69076,1.49745,0.0010298,0.0010298,0.0010298
51,179.007,1.40007,0.74524,1.28926,0.99331,1,0.995,0.46476,1.68907,0.68778,1.48559,0.00101,0.00101,0.00101
52,182.479,1.3732,0.67828,1.25581,0.99436,1,0.995,0.49303,1.64779,0.62546,1.47402,0.0009902,0.0009902,0.0009902
53,185.949,1.38796,0.72067,1.27238,0.99177,1,0.995,0.5188,1.6752,0.64403,1.49568,0.0009704,0.0009704,0.0009704
54,189.415,1.43893,0.70558,1.30132,0.99115,1,0.995,0.51934,1.62305,0.62037,1.46446,0.0009506,0.0009506,0.0009506
55,192.898,1.38331,0.69535,1.29171,1,0.99389,0.995,0.4701,1.7772,0.66859,1.52547,0.0009308,0.0009308,0.0009308
56,196.382,1.32243,0.6576,1.24202,1,0.9979,0.995,0.52491,1.66145,0.63561,1.42801,0.000911,0.000911,0.000911
57,199.857,1.34746,0.66425,1.2522,0.99497,1,0.995,0.56214,1.58051,0.62613,1.42505,0.0008912,0.0008912,0.0008912
58,203.325,1.34753,0.66428,1.27278,0.99295,1,0.995,0.57113,1.63344,0.61767,1.4528,0.0008714,0.0008714,0.0008714
59,206.791,1.37996,0.69572,1.26307,0.99692,1,0.995,0.60348,1.56397,0.58859,1.41422,0.0008516,0.0008516,0.0008516
